Course Name,Course ID,URL Before Change,Verified New URL,Verified Start Date,Verified Due Date,Verified Title,Errors
AUTO 131 - D--B - Online Block Development,152731,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 100 - R--B - Online Block Reference,16221,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 101 - R--B - Online Block Reference,108133,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 183 - R--B - Online Block Reference,62923,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 211 - R--B - Online Block Reference,56994,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 320 - R--B - Online Block Reference,280338,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
CHILD 210 - R--B - Online Block Reference,112570,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
CIT 110 - R--B - Online Block Reference,108142,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
CIT 160 - R--B - Online Block Reference,167893,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
CIT 230 - R--B - Online Block Reference,56875,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
COMM 289 - R--B - Online Block Reference,339476,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
COMM 497R - R--B - Online Block Reference,24645,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FAML 100 - R--B - Online Block Reference,108135,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FAML 110 - R--B - Online Block Reference,55186,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FAML 120 - R--B - Online Block Reference,334760,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FAML 150 - R--B - Online Block Reference,16186,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FAML 160 - R--B - Online Block Reference,395253,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FAML 300 - R--B - Online Block Reference,171662,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FCS 110 - R--B - Online Block Reference,223408,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FCS 340 - R--B - Online Block Reference,118475,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDAMF 101 - R--B - Online Block Reference,19337,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDENG 301 - R--B - Online Block Reference,108137,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDHUM 110 - R--B - Online Block Reference,108599,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDINT 211 - R--B - Online Block Reference,81187,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDMAT 108 - R--B - Online Block Reference,439710,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 121 - R--B - Online Block Reference,234433,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 122 - R--B - Online Block Reference,234434,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,This course has 2 matchs for the given link.
FDREL 130 - R--B - Online Block Reference,393827,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 200 - R--B - Online Block Reference,280023,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 211 - R--B - Online Block Reference,57723,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 212 - R--B - Online Block Reference,437968,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 261 - R--B - Online Block Reference,168354,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 301 - R--B - Online Block Reference,168750,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 333 - R--B - Online Block Reference,56869,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDSCI 101 - R--B - Online Block Reference,439141,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDSCI 201 - P--B - Online Block Pilot,282206,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDSCI 203 - R--B - Online Block Reference,285935,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDWLD 101 - R--B - Online Block Reference,63425,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDWLD 201 - R--B - Online Block Reference,63447,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
GS 111 - R--B - Online Block Reference,19548,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
INTST 100 - D--B - Online Block Course,338519,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
LR 111 - R--B - Online Block Reference,19555,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
MATH 111 - R--B - Online Block Reference,17612,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
MATH 221A - R--B - Online Block Reference,56896,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
MATH 221B - R--B - Online Block Reference,282453,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
MATH 221C - R--B - Online Block Reference,282454,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
PSYCH 112 - R--B - Online Block Reference,275148,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
WDD 100 - R--B - Online Block Reference,390395,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 100 - R--B - Online Block Reference,467317,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 101 - R--B - Online Block Reference,466827,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 183 - R--B - Online Block Reference,466770,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 211 - R--B - Online Block Reference,466738,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 320 - R--B - Online Block Reference,467073,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
CIT 110 - R--B - Online Block Reference,466934,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
CIT 160 - R--B - Online Block Reference,466958,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
COMM 289 - R--B - Online Block Reference,467158,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
COMM 497R - R--B - Online Block Reference,466689,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FAML 100 - R--B - Online Block Reference,466860,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FAML 110 - R--B - Online Block Reference,466700,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FAML 120 - R--B - Online Block Reference,467142,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FAML 150 - R--B - Online Block Reference,466579,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FAML 160 - R--B - Online Block Reference,467204,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FAML 300 - R--B - Online Block Reference,467024,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FCS 110 - R--B - Online Block Reference,467035,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FCS 340 - R--B - Online Block Reference,466957,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDAMF 101 - R--B - Online Block Reference,466595,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDHUM 110 - R--B - Online Block Reference,466956,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDINT 211 - R--B - Online Block Reference,466811,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDMAT 108 - R--B - Online Block Reference,467259,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 121 - R--B - Online Block Reference,467046,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 122 - R--B - Online Block Reference,467055,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,This course has 2 matchs for the given link.
FDREL 130 - R--B - Online Block Reference,467191,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 200 - R--B - Online Block Reference,467067,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 211 - R--B - Online Block Reference,466749,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 212 - R--B - Online Block Reference,467232,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 261 - R--B - Online Block Reference,466988,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 301 - R--B - Online Block Reference,467019,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 333 - R--B - Online Block Reference,466721,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDSCI 101 - R--B - Online Block Reference,467249,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDSCI 201 - R--B - Online Block Reference,467074,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDSCI 201 - P--B - Online Block Pilot,469615,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDSCI 203 - R--B - Online Block Reference,467128,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDWLD 101 - R--B - Online Block Reference,466789,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDWLD 201 - R--B - Online Block Reference,466806,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
GS 111 - R--B - Online Block Reference,466634,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
LR 111 - R--B - Online Block Reference,466676,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
MATH 111 - R--B - Online Block Reference,466580,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
MATH 221B - R--B - Online Block Reference,467095,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
PSYCH 112 - R--B - Online Block Reference,467066,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
WDD 100 - R--B - Online Block Reference,467179,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FAML 220 - R--B - Online Block Reference,108136,,,,,,
FAML 220 - R--B - Online Block Reference,466907,,,,,,
